x,y,z,label
526037.928,4694100.019,14.325,2.0
526037.488,4694103.191,14.345000000000002,2.0
526037.638,4694102.944,14.346999999999998,2.0
526038.968,4694103.299,14.372,2.0
526039.086,4694102.378,14.379000000000001,2.0
526039.064,4694102.69,14.388000000000002,2.0
526036.587,4694103.76,14.392,2.0
526038.68,4694103.056,14.412,2.0
526039.492,4694105.038,14.427,2.0
526039.113,4694103.497,14.433,2.0
526038.242,4694100.066,14.434999999999999,2.0
526036.602,4694103.678,14.451999999999998,2.0
526039.304,4694104.969,14.494,2.0
526038.251,4694100.019,14.508,2.0
526038.985,4694102.93,14.547999999999998,2.0
526039.699,4694105.58,14.589000000000002,2.0
